Repository,Language,Files,Blank,Comment,Code
mohitmishra786/hacktoberfest-2022,Python,105,383,148,2743
mohitmishra786/hacktoberfest-2022,SVG,10,0,0,80
mohitmishra786/hacktoberfest-2022,Text,1,0,0,1
mohitmishra786/hacktoberfest-2022,XML,6,0,0,222
mohitmishra786/hacktoberfest-2022,kvlang,2,5,0,38
OmdenaAI/HOTOSM-Earth-Observation,Bourne Shell,1,4,4,13
OmdenaAI/HOTOSM-Earth-Observation,Dockerfile,1,7,7,11
OmdenaAI/HOTOSM-Earth-Observation,Jupyter Notebook,6,0,20695,20863
OmdenaAI/HOTOSM-Earth-Observation,Markdown,5,12,0,47
OmdenaAI/HOTOSM-Earth-Observation,Python,13,221,209,587
OmdenaAI/HOTOSM-Earth-Observation,Text,3,1,0,5
OmdenaAI/HOTOSM-Earth-Observation,YAML,1,2,2,4
OmdenaAI/HOTOSM-Earth-Observation,make,1,6,2,17
OmdenaAI/ACAPS,CSS,1,27,7,114
OmdenaAI/ACAPS,CSV,961,84106,0,1048886
OmdenaAI/ACAPS,HTML,2,66,2,325
OmdenaAI/ACAPS,JSON,17,0,0,4507481
OmdenaAI/ACAPS,Jupyter Notebook,67,0,10407359,24672
OmdenaAI/ACAPS,Markdown,20,187,0,458
OmdenaAI/ACAPS,Python,65,1931,2098,8396
OmdenaAI/ACAPS,TOML,1,3,0,12
OmdenaAI/ACAPS,Text,7,431,0,3882
OmdenaAI/ACAPS,XML,7,1,1,7036
OmdenaAI/ACAPS,YAML,1,17,8,122
mohitmishra786/build-your-own-systems,Bourne Shell,2,13,11,92
mohitmishra786/build-your-own-systems,HTML,5,18,0,192
mohitmishra786/build-your-own-systems,Markdown,110,6123,0,23740
mohitmishra786/build-your-own-systems,SCSS,1,115,7,583
mohitmishra786/build-your-own-systems,YAML,2,10,23,94
mohitmishra786/learning-the-old-way,Dockerfile,1,3,1,13
mohitmishra786/learning-the-old-way,Markdown,94,419,0,2594
mohitmishra786/learning-the-old-way,Python,1,24,101,42
mohitmishra786/learning-the-old-way,YAML,1,9,10,99
OmdenaAI/SonoCare,CSV,2,0,0,7158
OmdenaAI/SonoCare,JSON,1,0,0,33
OmdenaAI/SonoCare,Jupyter Notebook,26,0,67778,27661
OmdenaAI/SonoCare,Markdown,14,46,0,85
OmdenaAI/SonoCare,Python,26,842,1119,2559
OmdenaAI/SonoCare,Text,3,15,0,48
OmdenaAI/Climate-KIC,Jupyter Notebook,9,0,4371,2959
OmdenaAI/Climate-KIC,Markdown,16,9,0,26
mohitmishra786/minimalist-md-site-generator,C,8,228,106,1118
mohitmishra786/minimalist-md-site-generator,C/C++ Header,4,15,7,67
mohitmishra786/minimalist-md-site-generator,CMake,9,55,32,276
mohitmishra786/minimalist-md-site-generator,HTML,5,14,0,459
mohitmishra786/minimalist-md-site-generator,Markdown,6,51,0,217
mohitmishra786/minimalist-md-site-generator,Text,3,60,0,330
mohitmishra786/minimalist-md-site-generator,TypeScript,1,0,0,2
mohitmishra786/minimalist-md-site-generator,make,2,87,68,214
mohitmishra786/b-plus-tree-generator,C,9,219,99,903
mohitmishra786/b-plus-tree-generator,C/C++ Header,4,11,4,40
mohitmishra786/b-plus-tree-generator,CMake,1,9,9,26
mohitmishra786/b-plus-tree-generator,Markdown,1,0,0,1
mohitmishra786/lsm-tree-generator,C,9,63,38,618
mohitmishra786/lsm-tree-generator,C/C++ Header,5,20,0,80
mohitmishra786/lsm-tree-generator,CMake,2,7,6,19
mohitmishra786/lsm-tree-generator,Markdown,1,20,0,73
mohitmishra786/DSA-For-Placements,C++,16,99,53,485
mohitmishra786/DSA-For-Placements,Markdown,2,2,0,16
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,CSV,175,17,0,1027518
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,HTML,1,22,0,66
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,JSON,63,124,0,1929764
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,Jupyter Notebook,37,0,91564,9740
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,Markdown,26,184,0,435
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,Python,13,339,212,1247
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,TOML,1,0,0,6
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,Text,4,16,0,162
OmdenaAI/Berlin-Chapter-Challenge-Waste-Management,XML,3,6,0,10502
mohitmishra786/MLOps-Basics,Dockerfile,4,21,13,64
mohitmishra786/MLOps-Basics,JSON,6,0,0,509
mohitmishra786/MLOps-Basics,Jupyter Notebook,1,0,792,38
mohitmishra786/MLOps-Basics,Markdown,10,520,0,796
mohitmishra786/MLOps-Basics,Python,23,211,69,897
mohitmishra786/MLOps-Basics,Text,7,0,0,67
mohitmishra786/MLOps-Basics,YAML,7,3,0,78
mohitmishra786/idl-programming-challenge,Markdown,1,11,0,29
mohitmishra786/lfx,Markdown,1,0,0,1
mohitmishra786/awesome-courses,Markdown,2,39,0,1000
mohitmishra786/Notes-From-Obsidian,Markdown,8,44,0,88
mohitmishra786/doing-cs-again,Markdown,2,13,0,80
mohitmishra786/asm-mnist,Assembly,1,110,67,470
mohitmishra786/asm-mnist,Markdown,1,0,0,1
mohitmishra786/kaggle-c-lib,C,4,72,16,304
mohitmishra786/kaggle-c-lib,C/C++ Header,1,6,3,22
mohitmishra786/kaggle-c-lib,CMake,1,9,9,33
mohitmishra786/kaggle-c-lib,Markdown,1,68,0,218
mohitmishra786/just-some-comparisions,Bourne Shell,1,12,4,83
mohitmishra786/just-some-comparisions,C,1,2,1,17
mohitmishra786/just-some-comparisions,Go,1,6,1,25
mohitmishra786/just-some-comparisions,Java,1,4,1,26
mohitmishra786/just-some-comparisions,JavaScript,1,5,1,25
mohitmishra786/just-some-comparisions,Markdown,1,0,0,1
mohitmishra786/just-some-comparisions,Python,2,15,5,59
mohitmishra786/just-some-comparisions,Rust,1,4,1,24
mohitmishra786/just-some-comparisions,TOML,1,1,0,9
mohitmishra786/just-some-comparisions,make,1,9,0,21
mohitmishra786/KernelKafe,CSS,2,49,3,251
mohitmishra786/KernelKafe,HTML,3,11,0,227
mohitmishra786/KernelKafe,Markdown,2,208,0,296
mohitmishra786/Leetcode-Study-Plan,C++,13,32,32,217
mohitmishra786/Leetcode-Study-Plan,Markdown,1,0,0,1
mohitmishra786/Leetcode-Study-Plan,Python,2,3,4,11
mohitmishra786/GFG-100-Days-Of-Code,C++,5,1,3,77
mohitmishra786/GFG-100-Days-Of-Code,Markdown,1,0,0,1
mohitmishra786/CS221_AI,Markdown,1,46,0,74
mohitmishra786/Mushroom-Classification-iNeuron.ai-,CSV,1,0,0,8125
mohitmishra786/Mushroom-Classification-iNeuron.ai-,Jupyter Notebook,2,0,2977,190
mohitmishra786/Mushroom-Classification-iNeuron.ai-,Markdown,1,0,0,1
mohitmishra786/Mushroom-Classification-iNeuron.ai-,YAML,1,4,6,12
mohitmishra786/Natural-Language-Processing-Specialization,CSV,2,0,0,16002
mohitmishra786/Natural-Language-Processing-Specialization,JSON,15,0,0,34964
mohitmishra786/Natural-Language-Processing-Specialization,Jupyter Notebook,73,0,71580,12230
mohitmishra786/Natural-Language-Processing-Specialization,Markdown,3,50,0,66
mohitmishra786/Natural-Language-Processing-Specialization,Python,13,284,307,1091
mohitmishra786/Natural-Language-Processing-Specialization,SVG,20,1,78,7055
